dispatching_base_number,Date/Time,active_vehicles,trips,Hour,Day,DayOfWeek,Month
B02682,2015-02-13,1523,16088,0,13,4,2
B02764,2015-02-13,4395,43561,0,13,4,2
B02765,2015-02-13,599,5909,0,13,4,2
B02512,2015-02-13,281,2408,0,13,4,2
B02598,2015-02-13,1216,13062,0,13,4,2
B02764,2015-02-14,4129,45858,0,14,5,2
B02512,2015-02-14,236,2055,0,14,5,2
B02598,2015-02-14,1111,12678,0,14,5,2
B02765,2015-02-14,583,6307,0,14,5,2
B02617,2015-02-14,1486,16999,0,14,5,2
B02682,2015-02-14,1428,16448,0,14,5,2
B02682,2015-02-15,1261,14517,0,15,6,2
B02764,2015-02-15,3651,41209,0,15,6,2
B02617,2015-02-15,1293,14662,0,15,6,2
B02765,2015-02-15,521,5500,0,15,6,2
B02512,2015-02-15,210,1996,0,15,6,2
B02598,2015-02-15,1003,11517,0,15,6,2
B02598,2015-02-16,934,9052,0,16,0,2
B02512,2015-02-16,207,1576,0,16,0,2
B02617,2015-02-16,1214,11824,0,16,0,2
B02764,2015-02-16,3524,33448,0,16,0,2
B02682,2015-02-16,1164,11323,0,16,0,2
B02765,2015-02-16,508,4875,0,16,0,2
B02764,2015-02-17,3826,32473,0,17,1,2
B02512,2015-02-17,241,1797,0,17,1,2
B02682,2015-02-17,1314,11887,0,17,1,2
B02617,2015-02-17,1378,12524,0,17,1,2
B02598,2015-02-17,1066,9463,0,17,1,2
B02765,2015-02-17,578,4907,0,17,1,2
B02598,2015-02-18,1078,9538,0,18,2,2
B02682,2015-02-18,1314,11724,0,18,2,2
B02617,2015-02-18,1394,12016,0,18,2,2
B02765,2015-02-18,586,5059,0,18,2,2
B02764,2015-02-18,3842,32317,0,18,2,2
B02512,2015-02-18,228,1589,0,18,2,2
B02598,2015-02-19,1127,11739,0,19,3,2
B02512,2015-02-19,250,2120,0,19,3,2
B02682,2015-02-19,1428,14591,0,19,3,2
B02764,2015-02-19,4110,39110,0,19,3,2
B02765,2015-02-19,663,6447,0,19,3,2
B02617,2015-02-19,1452,14750,0,19,3,2
B02764,2015-02-20,4384,44755,0,20,4,2
B02617,2015-02-20,1574,16856,0,20,4,2
B02598,2015-02-20,1186,12758,0,20,4,2
B02682,2015-02-20,1497,16342,0,20,4,2
B02765,2015-02-20,736,7824,0,20,4,2
B02512,2015-02-20,272,2380,0,20,4,2
B02598,2015-02-21,1044,12132,0,21,5,2
B02682,2015-02-21,1374,16149,0,21,5,2
B02765,2015-02-21,685,7658,0,21,5,2
B02617,2015-02-21,1443,16098,0,21,5,2
B02512,2015-02-21,238,2149,0,21,5,2
B02764,2015-02-21,3981,44194,0,21,5,2
B02512,2015-02-22,199,1312,0,22,6,2
B02617,2015-02-22,1248,10696,0,22,6,2
B02682,2015-02-22,1220,10970,0,22,6,2
B02764,2015-02-22,3478,30157,0,22,6,2
B02598,2015-02-22,909,8271,0,22,6,2
B02765,2015-02-22,566,5034,0,22,6,2
B02598,2015-02-23,966,8943,0,23,0,2
B02617,2015-02-23,1332,11720,0,23,0,2
B02764,2015-02-23,3734,31173,0,23,0,2
B02682,2015-02-23,1262,11714,0,23,0,2
B02765,2015-02-23,665,5823,0,23,0,2
B02512,2015-02-23,238,1844,0,23,0,2
B02764,2015-02-24,3965,34686,0,24,1,2
B02512,2015-02-24,247,1869,0,24,1,2
B02598,2015-02-24,1061,9954,0,24,1,2
B02682,2015-02-24,1346,12497,0,24,1,2
B02617,2015-02-24,1456,13719,0,24,1,2
B02765,2015-02-24,698,6390,0,24,1,2
B02512,2015-02-25,246,1647,0,25,2,2
B02598,2015-02-25,1076,9405,0,25,2,2
B02765,2015-02-25,706,6178,0,25,2,2
B02682,2015-02-25,1395,12693,0,25,2,2
B02617,2015-02-25,1473,12811,0,25,2,2
B02764,2015-02-25,3934,31957,0,25,2,2
B02598,2015-02-26,1134,10661,0,26,3,2
B02617,2015-02-26,1539,14461,0,26,3,2
B02682,2015-02-26,1465,13814,0,26,3,2
B02512,2015-02-26,243,1797,0,26,3,2
B02765,2015-02-26,745,6744,0,26,3,2
B02764,2015-02-26,4101,36091,0,26,3,2
B02765,2015-02-27,786,7563,0,27,4,2
B02617,2015-02-27,1551,14677,0,27,4,2
B02598,2015-02-27,1114,10755,0,27,4,2
B02512,2015-02-27,272,2056,0,27,4,2
B02764,2015-02-27,4253,38780,0,27,4,2
B02682,2015-02-27,1510,14975,0,27,4,2
B02598,2015-02-28,994,10319,0,28,5,2
B02764,2015-02-28,3952,39812,0,28,5,2
B02617,2015-02-28,1372,14022,0,28,5,2
B02682,2015-02-28,1386,14472,0,28,5,2
B02512,2015-02-28,230,1803,0,28,5,2
B02765,2015-02-28,747,7753,0,28,5,2
